"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 6:51:51 PM GMT+1","7","5","3","4","7","5","7","7","4","4","3","7","10","6","1","1","4","4","No","Yes"
"2020/01/25 6:53:34 PM GMT+1","5","6","4","6","5","5","6","4","3","4","3","5","2","3","4","1","6","5","Yes","Yes"
"2020/01/25 6:53:56 PM GMT+1","1","1","1","10","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes","Yes"
"2020/01/25 7:00:05 PM GMT+1","6","5","4","6","6","7","6","5","5","5","4","5","5","6","2","2","5","7","",""
"2020/01/25 7:02:32 PM GMT+1","7","7","5","6","7","5","6","4","3","5","3","","2","4","4","3","5","2","No",""
"2020/01/25 7:03:26 PM GMT+1","4","5","3","4","6","5","6","5","2","5","3","4","4","5","3","1","3","7","Yes","Yes"
"2020/01/25 7:21:04 PM GMT+1","4","5","4","5","7","6","6","4","5","5","6","6","5","5","6","3","5","7","Yes","Yes"
"2020/01/25 7:22:34 PM GMT+1","5","4","3","4","5","5","4","4","3","4","4","4","3","4","2","2","5","8","Yes","Yes"
"2020/01/25 7:39:13 PM GMT+1","5","7","3","3","5","5","6","3","4","4","3","","","","3","1","4","6","Yes",""
"2020/01/25 7:40:03 PM GMT+1","5","5","4","3","4","4","6","3","3","5","4","3","3","3","3","3","5","6","",""
"2020/01/25 7:45:04 PM GMT+1","4","4","5","3","4","7","6","4","4","7","5","","","","3","1","5","8","",""
"2020/01/25 7:47:25 PM GMT+1","5","4","4","5","8","6","6","3","3","4","3","4","4","5","1","1","4","8","Yes","Yes"
"2020/01/25 7:48:57 PM GMT+1","4","3","1","5","2","5","3","1","1","4","2","2","1","1","1","1","1","4","Yes","Yes"
"2020/01/25 7:53:41 PM GMT+1","5","5","2","7","5","7","3","3","5","4","4","4","5","5","2","1","5","7","No","No"
"2020/01/25 7:54:50 PM GMT+1","6","6","1","5","5","4","7","3","2","4","3","","","","1","1","1","1","Yes","Yes"
